alface;Folha verde muito usada em salada
beterraba;Raiz roxa que mancha tudo
chuchu;Legume famoso por “não ter gosto”
pepino;Legume verde comum em salada e conserva
abacaxi;Fruta amarela com coroa espinhosa
banana;Fruta amarela, muito comum no Brasil
morango;Fruta vermelha com sementes por fora
melancia;Fruta grande, verde por fora e vermelha por dentro
laranja;Fruta cítrica usada pra suco
manga;Fruta doce e suculenta, bem tropical
caju;Fruta com castanha grudada do lado
goiaba;Fruta cheirosa que dá pra fazer goiabada
pitanga;Frutinha pequena vermelha, bem brasileira
cenoura;Raiz laranja, boa pra salada e bolo
batata;Tubérculo muito usado em fritas e purê
feijao;Base clássica do prato brasileiro
arroz;Acompanhamento tradicional do feijão
queijo;Derivado do leite, ótimo em tudo
presunto;Fatiado comum em sanduíche
macarrao;Massa italiana que todo mundo faz errado às vezes
caderno;Usado pra anotar e também pra sofrer estudando
computador;Máquina que trava quando você mais precisa
teclado;Onde você digita e erra tudo sem perceber
internet;Coisa que cai na hora da prova online
programacao;Área onde um ponto e vírgula estraga sua vida
algoritmo;Passos lógicos pra resolver um problema
variavel;Caixinha com nome pra guardar valor
funcao;Bloco de código que faz uma tarefa
array;Lista de valores dentro do código
objeto;Estrutura com propriedades tipo chave e valor
bussola;Instrumento que aponta pro norte
nebulosa;Nuvem de gás e poeira no espaço
planeta;Corpo celeste que orbita uma estrela
galaxia;Conjunto gigantesco de estrelas e sistemas
astronauta;Pessoa que vai pro espaço com capacete
foguete;Veículo que leva coisas pro espaço
vulcao;Montanha que cospe lava
terremoto;Tremor forte da terra
trovão;Som alto que vem depois do relâmpago
relampago;Luz rápida no céu durante tempestade